'date','prcp','seven_day_avg_prcp'
'2013-07-04',0.0,0.20714285714285711748
'2013-07-05',0.0,0.11857142857142857295
'2013-07-06',0.0,0.13999999999999999111
'2013-07-07',0.0,0.064285714285714288251
'2013-07-08',0.22000000000000001776,0.064285714285714288251
'2013-07-09',0.23000000000000002664,0.099999999999999982236
'2013-07-10',0.0,0.10857142857142856229
'2013-07-11',0.0,0.10857142857142856229
'2013-07-12',0.25,0.077142857142857153007
'2013-07-13',0.06,0.044285714285714288251
'2013-07-14',0.0,0.044285714285714288251
'2013-07-15',0.0,0.044285714285714288251
'2013-07-16',0.0,0.0085714285714285729511
'2013-07-17',0.0,0.0
'2013-07-18',0.0,0.0
'2013-07-19',0.0,0.0085714285714285729511
'2013-07-20',0.0,0.052857142857142855874
'2013-07-21',0.0,0.052857142857142855874
'2013-07-22',0.06,0.05428571428571427937
'2013-07-23',0.31000000000000000888,0.05428571428571427937
'2013-07-24',0.0,0.05428571428571427937
'2013-07-25',0.01,0.088571428571428576503
'2013-07-26',0.0,0.081428571428571423496
'2013-07-27',0.0,0.037142857142857144125
'2013-07-28',0.23999999999999999111,0.037142857142857144125
'2013-07-29',0.01,0.12857142857142858005
'2013-07-30',0.0,0.12857142857142858005
'2013-07-31',0.0,0.13714285714285714412
'2013-08-01',0.65,0.10285714285714284699
'2013-08-02',0.0,0.10142857142857142349
'2013-08-03',0.06,0.10142857142857142349
'2013-08-04',0.0,0.10142857142857142349
'2013-08-05',0.0,0.074285714285714288251
'2013-08-06',0.0,0.081428571428571423496
'2013-08-07',0.0,0.072857142857142855874
'2013-08-08',0.46000000000000005329,0.072857142857142855874
'2013-08-09',0.05,0.08
'2013-08-10',0.0,0.2014285714285714679
'2013-08-11',0.0,0.2014285714285714679
'2013-08-12',0.05,0.13571428571428569842
'2013-08-13',0.85,0.12857142857142858005
'2013-08-14',0.0,0.12857142857142858005
'2013-08-15',0.0,0.12857142857142858005
'2013-08-16',0.0,0.12142857142857141905
'2013-08-17',0.0,0.0
'2013-08-18',0.0,0.0
'2013-08-19',0.0,0.035714285714285711748
'2013-08-20',0.0,0.035714285714285711748
'2013-08-21',0.0,0.035714285714285711748
'2013-08-22',0.25,0.035714285714285711748
'2013-08-23',0.0,0.041428571428571423496
'2013-08-24',0.0,0.042857142857142864755
'2013-08-25',0.0,0.10428571428571429269
'2013-08-26',0.04,0.068571428571428576503
'2013-08-27',0.01,0.068571428571428576503
'2013-08-28',0.42999999999999998223,0.068571428571428576503
'2013-08-29',0.0,0.068571428571428576503
'2013-08-30',0.0,0.07
'2013-08-31',0.0,0.072857142857142855874
'2013-09-01',0.0,0.011428571428571427937
'2013-09-02',0.05,0.011428571428571427937
'2013-09-03',0.03,0.011428571428571427937
'2013-09-04',0.0,0.011428571428571427937
'2013-09-05',0.0,0.011428571428571427937
'2013-09-06',0.0,0.0042857142857142864755
'2013-09-07',0.0,0.0014285714285714283811
'2013-09-08',0.0,0.0014285714285714283811
'2013-09-09',0.0,0.23000000000000002664
'2013-09-10',0.01,0.23857142857142861203
'2013-09-11',0.0,0.23857142857142861203
'2013-09-12',1.6000000000000000888,0.23857142857142861203
'2013-09-13',0.06,0.24285714285714288251
'2013-09-14',0.0,0.24142857142857145902
'2013-09-15',0.0,0.24142857142857145902
'2013-09-16',0.03,0.012857142857142855874
'2013-09-17',0.0,0.0042857142857142864755
'2013-09-18',0.0,0.10714285714285713968
'2013-09-19',0.0,0.17142857142857144125
'2013-09-20',0.0,0.16714285714285712636
'2013-09-21',0.71999999999999992894,0.16714285714285712636
'2013-09-22',0.45,0.16714285714285712636
'2013-09-23',0.0,0.16714285714285712636
'2013-09-24',0.0,0.16714285714285712636
'2013-09-25',0.0,0.064285714285714288251
'2013-09-26',0.0,0.0
'2013-09-27',0.0,0.0
'2013-09-28',0.0,0.0
'2013-09-29',0.0,0.0
'2013-09-30',0.0,0.0
'2013-10-01',0.0,0.0
'2013-10-02',0.0,0.0
'2013-10-03',0.0,0.0
'2013-10-04',0.0,0.035714285714285711748
'2013-10-05',0.0,0.035714285714285711748
'2013-10-06',0.0,0.035714285714285711748
'2013-10-07',0.25,0.035714285714285711748
'2013-10-08',0.0,0.038571428571428576503
'2013-10-09',0.0,0.038571428571428576503
'2013-10-10',0.0,0.038571428571428576503
'2013-10-11',0.02,0.0028571428571428567622
'2013-10-12',0.0,0.0028571428571428567622
'2013-10-13',0.0,0.0028571428571428567622
'2013-10-14',0.0,0.0057142857142857135244
'2013-10-15',0.0,0.0028571428571428567622
'2013-10-16',0.0,0.0042857142857142864755
'2013-10-17',0.02,0.0042857142857142864755
'2013-10-18',0.0,0.0042857142857142864755
'2013-10-19',0.01,0.0042857142857142864755
'2013-10-20',0.0,0.0042857142857142864755
'2013-10-21',0.0,0.0014285714285714283811
'2013-10-22',0.0,0.0014285714285714283811
'2013-10-23',0.0,0.0
'2013-10-24',0.0,0.0
'2013-10-25',0.0,0.0
'2013-10-26',0.0,0.0
'2013-10-27',0.0,0.0
'2013-10-28',0.0,0.0085714285714285729511
'2013-10-29',0.0,0.027142857142857139685
'2013-10-30',0.0,0.027142857142857139685
'2013-10-31',0.06,0.027142857142857139685
'2013-11-01',0.13000000000000000444,0.027142857142857139685
'2013-11-02',0.0,0.027142857142857139685
'2013-11-03',0.0,0.027142857142857139685
'2013-11-04',0.0,0.037142857142857144125
'2013-11-05',0.0,0.018571428571428572951
'2013-11-06',0.0,0.018571428571428572951
'2013-11-07',0.13000000000000000444,0.018571428571428572951
