'zone','average_time_between_pickups'
'East Flushing',1770.9175616184840151
'JFK Airport',790.52678771014317504
'West Village',1040.8051996488574264
'Battery Park City',383.24002402970943848
'NV',71.15519555225525039
'East Chelsea',1418.7724831293715865
'Corona',521.48282581412255254
'Grymes Hill/Clifton',1849.5353618180219612
'Kew Gardens',910.58533139174429038
'UN/Turtle Bay South',253.70639109825661172
'Howard Beach',1447.2929853106308861
'Rockaway Park',3107.0279937026468175
'Middle Village',920.42795517145901129
'New Dorp/Midland Beach',3445.3356246590289835
'Highbridge Park',17729.852891633912648
'Melrose South',359.46780573594612206
'Saint Albans',429.81569473462135633
'Springfield Gardens South',942.19299449524864797
'Windsor Terrace',1350.2226023004231247
'Richmond Hill',449.11413089854086422
'Hillcrest/Pomonok',860.01482944100224869
'Sheepshead Bay',563.77100647176972003
'Great Kills',3184.2506555062524142
'East Williamsburg',256.945301725365427
'Ocean Parkway South',1732.0120666959191169
'NA',2153.5594243426663396
'Longwood',706.5001286425415472
'Marble Hill',1541.6150072009178195
'Lenox Hill West',171.04203621906930443
'Lincoln Square East',1103.8322955962995841
'Lower East Side',190.34418191133479325
'Jackson Heights',1534.972254240079259
'Co-Op City',3064.9426122949101625
'Saint Michaels Cemetery/Woodside',5435.8465180339159417
'Country Club',6095.2276061776062832
'Union Sq',884.75009058283582419
'Woodlawn/Wakefield',563.31664808455608195
'Gravesend',1245.7850281092810451
'Soundview/Castle Hill',312.41523545706373354
'Ridgewood',309.7981968636414507
'Van Cortlandt Village',429.52266374684606731
'Inwood Hill Park',7056.2585513078470711
'Carroll Gardens',815.81353742814695095
'Yorkville West',202.69111162459321207
'East Concourse/Concourse Village',308.30687182391103284
'Park Slope',209.69745435469038241
'Bloomingdale',861.92293310041758758
'Upper East Side South',1174.466004755730264
'Randalls Island',13526.170987786587662
'Central Harlem',227.66252969356601809
'Flatlands',324.57897008942335759
'Gramercy',1102.988301341944366
'Van Cortlandt Park',2884.2444282060650806
'Mariners Harbor',1398.4882639503986112
'Allerton/Pelham Gardens',796.74692167945089238
'Charleston/Tottenville',4797.3571103008207927
'Manhattanville',680.80838426629588511
'Stapleton',1016.2440543236894718
'Central Harlem North',166.36525083303701499
'Port Richmond',2796.5682401913025678
'Sunnyside',308.12800710337460152
'Clinton West',274.43277135656556353
'South Jamaica',539.84695273100262724
'City Island',8140.3584686774941303
'Times Sq/Theatre District',161.41728429862121529
'West Chelsea/Hudson Yards',181.0752286476103201
'Morrisania/Melrose',405.94693473538070449
'Alphabet City',513.50721609249605492
'Van Nest/Morris Park',424.80589074081542833
'Rego Park',730.42310094374531814
'University Heights/Morris Heights',344.29442548598467865
'Baisley Park',3433.9383637900868784
'Midwood',580.61320867462793415
'Midtown East',1017.2970410708883637
'Steinway',385.70578032917035571
'Briarwood/Jamaica Hills',837.24341486047588745
'Murray Hill-Queens',986.98087171232558034
'Bedford',199.75226215363983683
'Bay Terrace/Fort Totten',2752.4325749651326056
'Freshkills Park',80408.224203821649922
'Brighton Beach',857.23353195879088417
'East Flatbush/Remsen Village',291.78812294699492113
'Schuylerville/Edgewater Park',578.32198780286798722
'Glendale',769.02006672673701714
'Bloomfield/Emerson Hill',1360.673575352795428
'Long Island City/Hunters Point',284.24596973815674516
'Clinton Hill',315.97016754801559024
'Jamaica Bay',773118.84415584417595
'Washington Heights North',311.11666272585760673
'Madison',792.66805562528235284
'Glen Oaks',2550.3774986875584751
'Jamaica',284.31246848890809886
'South Williamsburg',1156.9884221517943156
'Astoria Park',45214.720430107524506
'Cobble Hill',1335.2761063069540359
'Roosevelt Island',3214.7768388903026348
'Bedford Park',342.08243061724115108
'Brooklyn Heights',411.55354850481238315
'Willets Point',28457.029385171793478
'Boerum Hill',354.96379976057594873
'East Village',110.36303175920667563
'East Elmhurst',783.91307852572049696
'Rikers Island',4278366.2857142852331
'South Ozone Park',336.5003622995364374
'Bellerose',2589.5571774160481837
'Cambria Heights',1682.9009539543808848
'Gowanus',980.1068003352058966
'Bronx Park',4036.1251997187963524
'Pelham Bay Park',7930.6674623115576139
'Crotona Park',10799.985633658286676
'Far Rockaway',932.57859842891743795
'Bushwick South',160.42346193607710524
'Clinton East',144.67399580113768919
'Green-Wood Cemetery',40757.569399612654237
'Bayside',1045.5206760693946943
'Bronxdale',627.01513030528666092
'Forest Hills',311.2280009264324132
'Great Kills Park',1006255.5483870967432
