'zone','average_time_between_pickups'
'Dyker Heights',1171.7234508348794985
'East New York/Pennsylvania Avenue',500.14460044821387185
'Prospect Park',3038.2462596815318356
'Highbridge',453.20701656189905648
'Homecrest',612.63952507057011231
'Williamsburg (South Side)',243.32506299073055622
'Flatiron',203.88379630376887163
'Woodhaven',564.53313966480447305
'Douglaston',3558.7524088578352809
'Queens Village',695.23364228787807306
'Bushwick North',245.66693116753794967
'Bay Ridge',356.15558863832448288
'Soundview/Bruckner',628.54567982325191266
'Woodside',449.15978721588478705
'Fresh Meadows',2207.7503321446050321
'Coney Island',687.88546159543413338
'Morningside Heights',355.97503114062032381
'Saint George/New Brighton',798.7112235219727907
'Old Astoria',524.64724499713408789
'East New York',148.67392875386348904
'East Harlem South',199.52203485139506256
'Downtown Brooklyn/MetroTech',417.35722451676853239
'Sutton Place/Turtle Bay North',1328.0943843359687139
'Heartland Village/Todt Hill',1914.0878617972420627
'East Flatbush/Farragut',362.55005051548763184
'Flushing Meadows-Corona Park',3704.6473659509562281
'Mount Hope',316.82491334206184241
'Norwood',404.07794575850441987
'Rosedale',1064.4269630728262487
'West Brighton',2438.6469225422811035
'Pelham Parkway',536.58010059302307936
'Parkchester',659.4947320058057727
'TriBeCa/Civic Center',156.6545814875262188
'Battery Park',12925.503175578774062
'Starrett City',1297.9875457273213257
'Inwood',485.05861571073083382
'Lincoln Square West',268.33229524703763324
'Meatpacking/West Village West',309.55589359026078888
'Little Italy/NoLiTa',1621.3212764107467478
'Queensboro Hill',1488.8809675366008633
'Bensonhurst West',547.47613103442303028
'Westchester Village/Unionport',4458.156003781909682
'Crown Heights South',454.86631039151852462
'Broad Channel',39688.871778755498098
'Erasmus',515.87922598773152671
'Manhattan Valley',366.12640652989290046
'Midtown Center',848.9452571587031926
'Springfield Gardens North',841.40405009325878182
'Elmhurst',256.47751490343226876
'Oakwood',5768.7096273291924575
'Chinatown',813.73227768186158215
'Ozone Park',1178.5448692828752736
'Rossville/Woodrow',8202.7176256656719743
'East Harlem North',193.98700165857853505
'Belmont',573.853351384257504
'Kingsbridge Heights',598.43065596604096967
'Greenpoint',257.66750709879562286
'Hunts Point',527.59209416167536232
'Mott Haven/Port Morris',274.99652977341209059
'Fort Greene',277.65095484279385118
'Crown Heights North',117.80875423890051489
'Whitestone',1443.5798303961233202
'Jamaica Estates',1242.5491766187262143
'DUMBO/Vinegar Hill',578.22019079356934412
'North Corona',734.48256131740841112
'Williamsburg (North Side)',1424.6728935286478545
'Williamsbridge/Olinville',342.81798196809405432
'Arrochar/Fort Wadsworth',3447.1009224387318958
'South Beach/Dongan Hills',2349.1085031989284992
'Cypress Hills',518.6494543125323986
'Eltingville/Annadale/Prince''s Bay',4827.9886094335298096
'Greenwich Village South',262.71684809963353757
'Pelham Bay',1405.7915414579853496
'Sunset Park East',797.09368334700574365
'Greenwich Village North',239.07805142104385787
'Laurelton',1022.8609140673079469
'SoHo',293.41470383275257916
'Two Bridges/Seward Park',370.71455152699757107
'West Farms/Bronx River',621.11367570119195846
'Canarsie',213.40145223308710775
'Eastchester',610.44061047157871513
'Hamilton Heights',2261.5219572708480377
'Financial District South',803.53971424572829818
'Prospect-Lefferts Gardens',216.151646862337099
'Prospect Heights',561.07693264395992471
'Elmhurst/Maspeth',948.37138480944229712
'Forest Park/Highland Park',12514.07535197303078
'West Concourse',328.84319483494746094
'Penn Station/Madison Sq West',1056.6442206395612046
'Hudson Sq',521.58517772198731421
'Garment District',247.55601591439155839
'World Trade Center',505.14056051444473638
'Seaport',861.60052931707191703
'Yorkville East',1955.3504022955632279
'Oakland Gardens',2986.6610706516599549
'Midtown North',182.00371757925070781
'Hammels/Arverne',1050.0661235347910071
'Central Park',433.49012972750360361
'Bath Beach',1676.5258421597515336
'Flushing',411.99184594710951401
'Bensonhurst East',711.77767008891841271
'Borough Park',366.66723369173963575
'Upper East Side North',132.06680551373415344
'Midtown South',168.07242945907987063
'Arden Heights',7111.1853603603600859
'Newark Airport',31959.92288178589824
'Long Island City/Queens Plaza',715.77506658355529722
'Brooklyn Navy Yard',2334.1908334873404662
'College Point',1384.5331681866010953
'Upper West Side South',1129.9141519308102399
'Breezy Point/Fort Tilden/Riis Beach',19239.147820786346443
'Crotona Park East',650.47873195048104832
'Lenox Hill East',191.16350219590964698
'Brownsville',239.64961922144349948
'Ocean Hill',351.07295719844358039
'Riverdale/North Riverdale/Fieldston',1156.2247304150419235
'Governor''s Island/Ellis Island/Liberty Island',4180347.6428571428868
'Sunset Park West',393.37183519666162112
'Auburndale',2306.75992549033948
'Kensington',928.9758038419675401
'Westerleigh',2603.142910140148647
'Columbia Street',3622.3988528821338128
'Claremont/Bathgate',456.28743064385623995
'Spuyten Duyvil/Kingsbridge',530.43022718683072724
'Flatbush/Ditmas Park',207.18806034779699842
'Upper West Side North',199.20152657309571964
'Kips Bay',221.77620619425524317
'Queensbridge/Ravenswood',7478.2908341840457211
'Fordham South',717.68122315401923216
'Manhattan Beach',1673.7076906768431072
'Hollis',1534.4843286845815555
'Maspeth',733.18435105641981408
'Kew Gardens Hills',1129.2053638476668986
'East Tremont',371.61049330414930302
'Stuyvesant Heights',201.41806376308730719
'Marine Park/Floyd Bennett Field',17549.871837642481153
'Marine Park/Mill Basin',605.62550702402075941
'Washington Heights South',205.39632704697048382
'LaGuardia Airport',919.59490691444649712
'Stuy Town/Peter Cooper Village',830.20031811131271837
'Financial District North',290.71532336018410802
'Astoria',188.8613207660012172
'Murray Hill',897.61278681589917738
'Red Hook',989.04737369624449172
